DATE,DAT,TREAT,NO,SP,LCC,CHN,VALUE
2022/5/10,57,MN,3,1,2,Red,111
2022/5/10,57,MN,3,2,2,Red,217
2022/5/10,57,MN,3,3,2,Red,190
2022/5/10,57,MN,3,4,2,Red,211
2022/5/10,57,MN,3,5,2,Red,187
2022/5/10,57,MN,3,6,3,Red,182
2022/5/10,57,MN,3,7,3,Red,174
2022/5/10,57,MN,3,8,3,Red,174
2022/5/10,57,MN,3,9,3,Red,151
2022/5/10,57,MN,3,10,3,Red,178
2022/5/10,57,MN,3,11,4,Red,171
2022/5/10,57,MN,3,12,4,Red,171
2022/5/10,57,MN,3,13,4,Red,138
2022/5/10,57,MN,3,14,4,Red,201
2022/5/10,57,MN,3,15,4,Red,113
2022/5/10,57,MN,3,16,5,Red,111
2022/5/10,57,MN,3,17,5,Red,166
2022/5/10,57,MN,3,18,5,Red,155
2022/5/10,57,MN,3,19,5,Red,132
2022/5/10,57,MN,3,20,5,Red,172
2022/5/10,57,MN,3,21,6,Red,98
2022/5/10,57,MN,3,22,6,Red,157
2022/5/10,57,MN,3,23,6,Red,153
2022/5/10,57,MN,3,24,6,Red,151
2022/5/10,57,MN,3,25,6,Red,152
2022/5/10,57,MN,3,26,6,Red,162
2022/5/10,57,MN,3,27,6,Red,131
2022/5/10,57,MN,3,28,6,Red,148
2022/5/10,57,MN,3,29,6,Red,154
2022/5/10,57,MN,3,30,6,Red,148
2022/5/10,57,MN,3,1,2,Green,154
2022/5/10,57,MN,3,2,2,Green,117
2022/5/10,57,MN,3,3,2,Green,88
2022/5/10,57,MN,3,4,2,Green,118
2022/5/10,57,MN,3,5,2,Green,103
2022/5/10,57,MN,3,6,3,Green,96
2022/5/10,57,MN,3,7,3,Green,91
2022/5/10,57,MN,3,8,3,Green,91
2022/5/10,57,MN,3,9,3,Green,72
2022/5/10,57,MN,3,10,3,Green,108
2022/5/10,57,MN,3,11,4,Green,97
2022/5/10,57,MN,3,12,4,Green,124
2022/5/10,57,MN,3,13,4,Green,86
2022/5/10,57,MN,3,14,4,Green,153
2022/5/10,57,MN,3,15,4,Green,59
2022/5/10,57,MN,3,16,5,Green,59
2022/5/10,57,MN,3,17,5,Green,133
2022/5/10,57,MN,3,18,5,Green,117
2022/5/10,57,MN,3,19,5,Green,98
2022/5/10,57,MN,3,20,5,Green,144
2022/5/10,57,MN,3,21,6,Green,64
2022/5/10,57,MN,3,22,6,Green,89
2022/5/10,57,MN,3,23,6,Green,87
2022/5/10,57,MN,3,24,6,Green,79
2022/5/10,57,MN,3,25,6,Green,80
2022/5/10,57,MN,3,26,6,Green,84
2022/5/10,57,MN,3,27,6,Green,56
2022/5/10,57,MN,3,28,6,Green,73
2022/5/10,57,MN,3,29,6,Green,75
2022/5/10,57,MN,3,30,6,Green,71
2022/5/10,57,MN,3,1,2,Blue,82
2022/5/10,57,MN,3,2,2,Blue,168
2022/5/10,57,MN,3,3,2,Blue,140
2022/5/10,57,MN,3,4,2,Blue,165
2022/5/10,57,MN,3,5,2,Blue,145
2022/5/10,57,MN,3,6,3,Blue,139
2022/5/10,57,MN,3,7,3,Blue,131
2022/5/10,57,MN,3,8,3,Blue,131
2022/5/10,57,MN,3,9,3,Blue,110
2022/5/10,57,MN,3,10,3,Blue,141
2022/5/10,57,MN,3,11,4,Blue,132
2022/5/10,57,MN,3,12,4,Blue,143
2022/5/10,57,MN,3,13,4,Blue,108
2022/5/10,57,MN,3,14,4,Blue,173
2022/5/10,57,MN,3,15,4,Blue,83
2022/5/10,57,MN,3,16,5,Blue,81
2022/5/10,57,MN,3,17,5,Blue,144
2022/5/10,57,MN,3,18,5,Blue,130
2022/5/10,57,MN,3,19,5,Blue,110
2022/5/10,57,MN,3,20,5,Blue,153
2022/5/10,57,MN,3,21,6,Blue,77
2022/5/10,57,MN,3,22,6,Blue,121
2022/5/10,57,MN,3,23,6,Blue,117
2022/5/10,57,MN,3,24,6,Blue,113
2022/5/10,57,MN,3,25,6,Blue,114
2022/5/10,57,MN,3,26,6,Blue,120
2022/5/10,57,MN,3,27,6,Blue,91
2022/5/10,57,MN,3,28,6,Blue,108
2022/5/10,57,MN,3,29,6,Blue,113
2022/5/10,57,MN,3,30,6,Blue,108
