"DATE","DAT","TREAT","NO","SP","LCC","CHN","VALUE"
2021-12-11 00:00:00,75,"MN",1,1,2,"Red",119
2021-12-11 00:00:00,75,"MN",1,2,2,"Red",124
2021-12-11 00:00:00,75,"MN",1,3,2,"Red",153
2021-12-11 00:00:00,75,"MN",1,4,2,"Red",166
2021-12-11 00:00:00,75,"MN",1,5,2,"Red",143
2021-12-11 00:00:00,75,"MN",1,6,3,"Red",185
2021-12-11 00:00:00,75,"MN",1,7,3,"Red",126
2021-12-11 00:00:00,75,"MN",1,8,3,"Red",104
2021-12-11 00:00:00,75,"MN",1,9,3,"Red",112
2021-12-11 00:00:00,75,"MN",1,10,3,"Red",137
2021-12-11 00:00:00,75,"MN",1,11,4,"Red",211
2021-12-11 00:00:00,75,"MN",1,12,4,"Red",101
2021-12-11 00:00:00,75,"MN",1,13,4,"Red",93
2021-12-11 00:00:00,75,"MN",1,14,4,"Red",177
2021-12-11 00:00:00,75,"MN",1,15,4,"Red",95
2021-12-11 00:00:00,75,"MN",1,16,5,"Red",95
2021-12-11 00:00:00,75,"MN",1,17,5,"Red",132
2021-12-11 00:00:00,75,"MN",1,18,5,"Red",158
2021-12-11 00:00:00,75,"MN",1,19,5,"Red",212
2021-12-11 00:00:00,75,"MN",1,20,5,"Red",80
2021-12-11 00:00:00,75,"MN",1,21,6,"Red",134
2021-12-11 00:00:00,75,"MN",1,22,6,"Red",136
2021-12-11 00:00:00,75,"MN",1,23,6,"Red",132
2021-12-11 00:00:00,75,"MN",1,24,6,"Red",145
2021-12-11 00:00:00,75,"MN",1,25,6,"Red",142
2021-12-11 00:00:00,75,"MN",1,26,6,"Red",141
2021-12-11 00:00:00,75,"MN",1,27,6,"Red",137
2021-12-11 00:00:00,75,"MN",1,28,6,"Red",145
2021-12-11 00:00:00,75,"MN",1,29,6,"Red",155
2021-12-11 00:00:00,75,"MN",1,30,6,"Red",154
2021-12-11 00:00:00,75,"MN",1,1,2,"Green",153
2021-12-11 00:00:00,75,"MN",1,2,2,"Green",36
2021-12-11 00:00:00,75,"MN",1,3,2,"Green",62
2021-12-11 00:00:00,75,"MN",1,4,2,"Green",73
2021-12-11 00:00:00,75,"MN",1,5,2,"Green",42
2021-12-11 00:00:00,75,"MN",1,6,3,"Green",115
2021-12-11 00:00:00,75,"MN",1,7,3,"Green",67
2021-12-11 00:00:00,75,"MN",1,8,3,"Green",42
2021-12-11 00:00:00,75,"MN",1,9,3,"Green",43
2021-12-11 00:00:00,75,"MN",1,10,3,"Green",70
2021-12-11 00:00:00,75,"MN",1,11,4,"Green",160
2021-12-11 00:00:00,75,"MN",1,12,4,"Green",57
2021-12-11 00:00:00,75,"MN",1,13,4,"Green",51
2021-12-11 00:00:00,75,"MN",1,14,4,"Green",154
2021-12-11 00:00:00,75,"MN",1,15,4,"Green",54
2021-12-11 00:00:00,75,"MN",1,16,5,"Green",58
2021-12-11 00:00:00,75,"MN",1,17,5,"Green",110
2021-12-11 00:00:00,75,"MN",1,18,5,"Green",138
2021-12-11 00:00:00,75,"MN",1,19,5,"Green",193
2021-12-11 00:00:00,75,"MN",1,20,5,"Green",54
2021-12-11 00:00:00,75,"MN",1,21,6,"Green",115
2021-12-11 00:00:00,75,"MN",1,22,6,"Green",62
2021-12-11 00:00:00,75,"MN",1,23,6,"Green",58
2021-12-11 00:00:00,75,"MN",1,24,6,"Green",73
2021-12-11 00:00:00,75,"MN",1,25,6,"Green",65
